name;elevation;latitude;longitude;continent;country;range
Pyramid Peak;4273;39.0714;-106.95;North America;United States;Elk Range Area
Mount Tyndall;4273;36.65;-118.333;North America;United States;Sierra Nevada
Wilson Peak;4272;37.8603;-107.984;North America;United States;San Juan Mountains
Wetterhorn Peak;4272;38.0606;-107.51;North America;United States;San Juan Mountains
San Luis Peak;4272;37.9869;-106.931;North America;United States;San Juan Mountains
Mount Muir;4271;36.564743;-118.291253;North America;United States;Sierra Nevada
Mount of the Holy Cross;4269;39.4681;-106.479;North America;United States;Sawatch Range
Huron Peak;4268;38.9453;-106.438;North America;United States;Sawatch Range
Sunshine Peak;4268;37.9228;-107.425;North America;United States;San Juan Mountains
Thunderbolt Peak;4267;37.0981;-118.517;North America;United States;Sierra Nevada
Grizzly Peak;4264;39.0425;-106.597;North America;United States;Sawatch Range
Mount Humphreys;4263;37.2706;-118.673;North America;United States;Sierra Nevada
Stewart Peak;4262;38.0233;-106.923;North America;United States;San Juan Mountains
Mount Ouray;4258;38.4225;-106.225;North America;United States;Sawatch Range
Fletcher Mountain;4252;39.4033;-106.128;North America;United States;Central Colorado Ranges
Ice Mountain;4346;38.9149;-106.437;North America;United States;Sawatch Range
Cathedral Peak;4250;39.0333;-106.85;North America;United States;Elk Range Area
Mount French;4249;39.1286;-106.482;North America;United States;Sawatch Range
Mount Hope;4247;39.0211;-106.4192;North America;United States;Sawatch Range
Norman Clyde Peak;4243;37.075;-118.472;North America;United States;Sierra Nevada
Mount Irvine;4241;36.5558;-118.262;North America;United States;Sierra Nevada
Mount Meeker;4240;40.2486;-105.604;North America;United States;Front Range
Horseshoe Mountain;4236;39.1858;-106.185;North America;United States;Central Colorado Ranges
Mount Agassiz;4235;37.1117;-118.53;North America;United States;Sierra Nevada
Vestal Peak;4226;37.6894;-107.602;North America;United States;
California Peak;4221;37.6167;-105.5;North America;United States;Sangre de Cristo Range
Tajumulco;4220;15.043384;-91.903589;North America;Guatemala;Guatemala Ranges
Mount Edwards;4217;39.636389;-105.793889;North America;United States;Front Range
Mount Hayes;4216;63.62;-146.716;North America;United States;Alaska Range
Mount Darwin;4216;37.1669;-118.671;North America;United States;Sierra Nevada
Un 13,828;4215;37.600578;-105.447806;North America;United States;Sangre de Cristo Range
Mount Silverheels;4213;39.3392;-106.005;North America;United States;Central Colorado Ranges
Rio Grande Pyramid;4213;37.6797;-107.392;North America;United States;San Juan Mountains
Gannett Peak;4207;43.1844;-109.653;North America;United States;Wind River Range
Mauna Kea;4205;19.8236;-155.471;North America;United States;
Rinker Peak;4201;39.037;-106.439;North America;United States;Sawatch Range
Mount Winchell;4199;37.1033;-118.525;North America;United States;Sierra Nevada
Grand Teton;4197;43.7411;-110.802;North America;United States;Teton Range - Yellowstone Area
Mount Cook;4196;60.1836;-139.968;North America;United States/Canada;Saint Elias Mountains
Mount Sheridan;4190;39.2092;-106.184;North America;United States;
Mount Morgan (South);4190;37.4;-119.25;North America;United States;Sierra Nevada
Fremont Peak;4190;43.1167;-109.617;North America;United States;Wind River Range
Ptarmigan Peak;4188;39.1506;-106.174;North America;United States;
Bear Creek Spire;4180;37.3681;-118.767;North America;United States;Sierra Nevada
Mount Abbot;4177;37.3864;-118.784;North America;United States;Sierra Nevada
Mauna Loa;4169;19.4786;-155.608;North America;United States;
Black Kaweah;4168;36.5453;-118.515;North America;United States;Sierra Nevada
Lookout Peak;4164;37.86213;-107.78028;North America;United States;San Juan Mountains
Mount Tom;4161;37.3386;-118.658;North America;United States;Sierra Nevada
Milestone Mountain;4158;36.6347;-118.484;North America;United States;Sierra Nevada
University Peak;4155;36.7481;-118.361;North America;United States;Sierra Nevada
West Spanish Peak;4153;37.3667;-104.983;North America;United States;Sangre de Cristo Range
Mount Helen;4151;39.4286;-106.087;North America;United States;Central Colorado Ranges
Tlalocatepetl;4151;19.412781;-98.71229;North America;Mexico;Cordillera Neovolcanica
Gray Wolf Mountain;4146;39.6172;-105.66;North America;United States;Front Range
Mount Dade;4145;37.3822;-118.778;North America;United States;Sierra Nevada
Weston Peak;4137;39.1367;-106.163;North America;United States;
Mt. Brewer;4136;36.7;-118.483;North America;United States;Sierra Nevada
Mount Audubon;4135;40.0989;-105.616;North America;United States;Front Range
Hayden Peak;4133;39.05;-106.85;North America;United States;Elk Range Area
Kings Peak;4123;40.7833;-110.367;North America;United States;Uinta Range
Keefe Peak;4120;39.0325;-106.904;North America;United States;
Mount Ypsilon;4119;40.4569;-105.681;North America;United States;Front Range
Mt. Gayley;4118;37.0833;-118.517;North America;United States;Sierra Nevada
North Arapaho Peak;4114;40.0266;-105.6505;North America;United States;Front Range
Mount Woodrow Wilson;4115;43.166667;-109.652222;North America;United States;Wind River Range
Hunter Peak;4114;39.053;-106.904;North America;United States;Elk Range Area
Mount Thompson;4113;37.1431;-118.613;North America;United States;Sierra Nevada
Gilbert Peak;4097;40.8233;-110.34;North America;United States;Uinta Range
Mount Haeckel;4095;37.1503;-118.661;North America;United States;Sierra Nevada
Little Giant Peak;4089;37.7964;-107.598;North America;United States;San Juan Mountains
Navajo Peak;4087;40.053507;-105.646515;North America;United States;Front Range
South Arapaho Peak;4083;40.01999;-105.650024;North America;United States;Front Range
Telepon;4081;19.1833;-98.65;North America;Mexico;
Downs Mountain;4069;43.1836;-109.402;North America;United States;Wind River Range
Peerless Mountain;4069;39.1981;-106.178;North America;United States;
Black Giant;4063;37.1;-118.667;North America;United States;Sierra Nevada
Storm Peak;4062;40.2656;-105.62;North America;United States;Front Range
Palmyra Peak;4060;37.8836;-107.829;North America;United States;San Juan Mountains
Warren;4056;39.6;-105.633;North America;United States;
Mount Daly;4055;39.1667;-107.067;North America;United States;Elk Range Area
James Peak;4052;39.8522;-105.69;North America;United States;Front Range
Clyde Spires;4044;37.14;-118.647;North America;United States;Sierra Nevada
Henry Mountain;4040;38.6833;-106.617;North America;United States;Sawatch Range
Notch Mountain;4035;39.4775;-106.46;North America;United States;Sawatch Range
Silverthrone;4030;63.1;-150.667;North America;United States;Alaska Range
King Solomon Mtn;4030;37.8078;-107.593;North America;United States;San Juan Mountains
Mount Sniktau;4028;39.678333;-105.857778;North America;United States;Front Range
Wind River Peak;4021;42.7085;-109.128;North America;United States;Wind River Range
Basin Mountain;4018;37.2833;-118.65;North America;United States;Sierra Nevada
Mount Waddington;4016;51.3667;-125.233;North America;Canada;British Columbia Coast Ranges
Mount Marcus Baker;4016;61.4333;-147.75;North America;United States;Chugach Mountains
Cloud Peak;4013;44.3822;-107.173;North America;United States;
Wheeler Peak;4011;36.556941;-105.416901;North America;United States;Sangre de Cristo Range
Francs Peak;4009;43.9614;-109.33;North America;United States;Absaroka Range
Taylor Peak;4009;40.2744;-105.68;North America;United States;Front Range
Boundary Peak;4006;37.85;-118.35;North America;United States;Great Basin Ranges
Mount Ritter;4006;37.6894;-119;North America;United States;Sierra Nevada
Mount Lyell;3998;37.7394;-119.271;North America;United States;Sierra Nevada
Old Mike;3998;36.5416;-105.4;North America;United States;Sangre de Cristo Range
Mount Gilbert;3994;37.1372;-118.597;North America;United States;Sierra Nevada
Truchas Peak;3994;35.9625;-105.644;North America;United States;Sangre de Cristo Range
Mount Chiquita;3983;40.4439;-105.688;North America;United States;
Wheeler Peak;3982;38.9861;-114.312;North America;United States;Great Basin Ranges
Mount Dana;3979;37.8997;-119.22;North America;United States;Sierra Nevada
Acatenango;3976;14.5;-90.8667;North America;Guatemala;Guatemala Ranges
North Truchas Peak;3970;35.9667;-105.617;North America;United States;Sangre de Cristo Range
Temple Crag;3962;37.1097;-118.492;North America;United States;Sierra Nevada
Ajusco;3960;19.2075;-99.258056;North America;Mexico;Cordillera Neovolcanica
Mount Toll;3956;40.0883;-105.633;North America;United States;Front Range
Mount Robson;3954;53.1167;-119.15;North America;Canada;Canadian Rockies
Mount Sopris;3948;39.26;-107.171;North America;United States;Elk Range Area
Clark Peak;3947;40.607176;-105.929489;North America;United States;
Mount Richthofen;3947;40.4694;-105.894;North America;United States;Front Range
Banner Peak;3946;37.6967;-119.194;North America;United States;Sierra Nevada
Lone Pine Peak;3945;36.5617;-118.224;North America;United States;Sierra Nevada
Sunshine Mountain;3941;37.858326;-107.934201;North America;United States;San Juan Mountains
Mount Owen;3940;43.7469;-110.797;North America;United States;Teton Range - Yellowstone Area
Cirque Peak;3932;36.4667;-118.233;North America;United States;Sierra Nevada
Mount Ida;3929;40.3717;-105.779;North America;United States;Front Range
Lake Fork Peak;3926;36.5333;-105.433;North America;United States;Sangre de Cristo Range
Chimayosos Peak;3914;35.973585;-105.610465;North America;United States;Sangre de Cristo Range
Jicarita Peak;3912;36.054813;-105.562228;North America;United States;Sangre de Cristo Range
Chrysolite;3908;38.6656;-106.344;North America;United States;Sawatch Range
New York Peak;3905;39.086098;-106.692785;North America;United States;Elk Range Area
Middle Teton;3903;43.73;-110.811;North America;United States;Teton Range - Yellowstone Area
Granite Peak;3901;45.1667;-109.8;North America;United States;Absaroka Range
Ajax Peak;3897;37.930137;-107.759274;North America;United States;
Buffalo Mountain;3894;39.6167;-106.143;North America;United States;Front Range
