name;elevation;latitude;longitude;continent;country;range
Monte Darwin;2488;-54.75;-69.4833;South America;Chile;Patagonia
Torre Central;2460;-50.9;-72.95;South America;Chile;Patagonia
Pico La Ceniza;2447;10.376304;-67.429276;South America;Venezuela;Coastal Venezuela
Pico Codazzi;2429;10.412169;-67.309142;South America;Venezuela;Coastal Venezuela
Pico Cogollal;2390;10.394227;-67.389101;South America;Venezuela;Coastal Venezuela
Geremba;2372;10.40993;-67.21817;South America;Venezuela;Coastal Venezuela
Cumbre de Buena Vista;2370;10.403683;-67.333354;South America;Venezuela;Coastal Venezuela
Alto de Lagunazo;2345;10.423394;-67.207441;South America;Venezuela;Coastal Venezuela
Peñón de San Carlos;2341;10.387474;-67.347302;South America;Venezuela;Coastal Venezuela
Aguja De La S;2335;-49.3;-73.05;South America;Argentina;Central Argentina-Chile
Monte Sarmiento;2300;-54.45;-70.8333;South America;Chile;Patagonia
Dos Picos (Cerro);2275;-47.545107;-72.174831;South America;Argentina;Patagonia
Alto de Pozo Negro;2206;10.458272;-67.105136;South America;Venezuela;Coastal Venezuela
Cerro Blanco (Sand Dune);2070;-14.868;-74.838;South America;Peru;
Cerro El Cerrón;2066;10.322604;-70.631018;South America;Venezuela;Coastal Venezuela
Pico Allignani;2020;-31.936922;-64.836931;South America;Argentina;
Calbuco;2015;-41.329996;-72.617777;South America;Chile;Central Argentina-Chile
Pico Caobal;2004;10.3625;-67.937737;South America;Venezuela;Coastal Venezuela
Cerro Mocho;1953;-49.2833;-73.0833;South America;Argentina;Patagonia
Cerro Tigre;1945;10.404248;-68.80012;South America;Venezuela;Coastal Venezuela
Picacho de Galipán;1935;10.560764;-66.907768;South America;Venezuela;Coastal Venezuela
Cerro Platillón;1930;9.870691;-67.515578;South America;Venezuela;Coastal Venezuela
Cerro Belgrano;1905;-29.0333;-67.8167;South America;Argentina;Central Argentina-Chile
Cerro Dollfus;1890;-39.830884;-71.807413;South America;Chile;Central Argentina-Chile
Pico Parana;1877;-25.252975;-48.811759;South America;Brazil;
Cerro Azul;1760;9.977727;-68.606014;South America;Venezuela;Coastal Venezuela
Curucutí;1730;9.99444;-66.9344;South America;Venezuela;Coastal Venezuela
Topo Yagrumal;1700;9.959974;-68.616056;South America;Venezuela;Coastal Venezuela
Achen Niyeu;1600;-39.863701;-71.56477;South America;Argentina;Patagonia
Pedra do Picú;1600;-22.337126;-44.775397;South America;Brazil;Southern Brazilian Highlands
El León;1457;8.510912;-71.101069;South America;Venezuela;Cordillera de Merida
Topo La Bandera;1428;9.989899;-66.358237;South America;Venezuela;Coastal Venezuela
Pablo Carlos Budassi;1402;-32.775911;-69.717268;South America;Argentina;Central Argentina-Chile
Cerro Santa Inés;1260;9.974472;-66.394672;South America;Venezuela;Coastal Venezuela
Cerro Copey;960;10.9958;-63.9114;South America;Venezuela;Coastal Venezuela
El Cerro del Aripo;940;10.717791;-61.250008;South America;Trinidad and Tobago;South Coastal Caribbean
El Tucuche;936;10.733333;-61.416667;South America;Trinidad and Tobago;South Coastal Caribbean
Cerro El Onoto;905;9.954395;-66.429734;South America;Venezuela;Coastal Venezuela
Aguja Saint Exupery;817;-49.2833;-73.0333;South America;Argentina;Patagonia
Cerro Santa Ana;830;11.818419;-69.951453;South America;Venezuela;Coastal Venezuela
Pico do Cabugi;700;-5.706111;-36.320833;South America;Brazil;
Bonita Rock (Pedra Bonita);693;-22.9889;-43.2836;South America;Brazil;Southern Brazilian Highlands
Siula Grande;6344;-10.2833;-76.8833;South America;Peru;Peruvian Andes
Main Ridge;576;11.2769;-60.6308;South America;Trinidad and Tobago;South Coastal Caribbean
Volcan Maunga Tere Vaca;511;-27.080541;-109.373054;South America;Chile;Chilean Coastal Islands
Ayangaik;420;6.083;-60.63;South America;Guyana;Eastern Guiana Highlands
Sugar Loaf Mountain;395;-22.95;-43.15;South America;Brazil;Southern Brazilian Highlands
Ranu Kau;324;-27.186257;-109.435539;South America;Chile;Chilean Coastal Islands
Volcan Ranu Raraku;250;-27.121648;-109.285936;South America;Chile;Chilean Coastal Islands
Antisana;5;-0.481;-78.141;South America;Ecuador;Ecuador Andes
Domuyo;4709;-36.9667;-70.7;South America;Argentina;Patagonia
