name;elevation;latitude;longitude;continent;country;range
Mount Cordeaux;1144;-28.041834;152.39316;Australia/Oceania;Australia;South Queensland Great Dividing Range
Mount Augustus;1106;-24.3103;116.835;Australia/Oceania;Australia;
Byadbo Mountain;1100;-37.5;148.833;Australia/Oceania;Australia;South NSW Great Dividing Range
Mount Rob Roy;1086;-35.49497;149.128645;Australia/Oceania;Australia;South NSW Great Dividing Range
Karrinyarra (Central Mount Wedge);1067;-22.85;131.833;Australia/Oceania;Australia;
Gibraltar Peak;1038;-35.458922;148.94783;Australia/Oceania;Australia;South NSW Great Dividing Range
Mount Maroon;966;-28.210937;152.727127;Australia/Oceania;Australia;South Queensland Great Dividing Range
Walsh's Peak;922;-17.1293;145.8;Australia/Oceania;Australia;
Tukwasmera (Ughen, Tukosmeru);914;-19.3434;169.2323;Australia/Oceania;Vanuatu;Vanatu
Uluru;868;-25.2333;130.983;Australia/Oceania;Australia;
Krakatoa;813;-6.146322;105.440565;Australia/Oceania;Indonesia;
Mt Greville;770;-28.074367;152.502583;Australia/Oceania;Australia;South Queensland Great Dividing Range
Mount Cougal;739;-28.235742;153.325624;Australia/Oceania;Australia;
Mt. Lofty;710;-34.976048;138.7125;Australia/Oceania;Australia;
Pykie's Peak;656;-28.48;153.38;Australia/Oceania;Australia;North NSW Great Dividing Range
Ball's Pyramid;562;-31.7558;159.251;Australia/Oceania;Australia;Outlying Islands
Mount Chincogan;305;-28.53;153.49;Australia/Oceania;Australia;
Mount Eden;196;-36.879722;174.764167;Australia/Oceania;New Zealand;North Island
