name;elevation;latitude;longitude;continent;country;range
Schalihorn;3974;46.084412;7.705064;Europe;Switzerland;Pennine Alps
Eiger;3970;46.577595;8.005171;Europe;Switzerland;Berner Oberland
Grivola;3969;45.595798;7.257581;Europe;Italy;Graian Alps
Rottalhorn;3972;46.53206;7.967362;Europe;Switzerland;Berner Oberland
Grand Cornier;3961;46.052222;7.611667;Europe;Switzerland;Pennine Alps
Pelvoux;3943;44.8833;6.38333;Europe;France;Dauphine Alps
Piz Roseg;3937;46.37375;9.883083;Europe;Switzerland;Rhaetian Alps
Bietschhorn;3934;46.39125;7.85075;Europe;Switzerland;
Piz Palu;3905;46.378333;9.960556;Europe;Switzerland;Rhaetian Alps
Ortler (Ortles);3905;46.50776;10.54439;Europe;Italy;Ortler Alps
Wellenkuppe;3903;46.041944;7.677778;Europe;Switzerland;Pennine Alps
Cima Ortles;3902;46.5167;10.55;Europe;Italy;Ortler Alps
La Ruinette;3898;45.979111;7.400361;Europe;Switzerland;Pennine Alps
Klein Matterhorn;3883;45.938333;7.729722;Europe;Switzerland;
Trugberg;3933;46.547528;8.015471;Europe;Switzerland;
Mont Blanc de Cheilon;3870;45.99314;7.417185;Europe;Switzerland;Pennine Alps
Aiguille du Goûter;3863;45.842434;6.843109;Europe;France;
Grande Casse;3852;45.405278;6.8275;Europe;France;Graian Alps
Gran Zebrù;3851;46.4786;10.5685;Europe;Italy;Ortler Alps
Monviso;3848;44.6675;7.091667;Europe;Italy;
Monte Viso;3841;44.6667;7.08824;Europe;Italy;Cottian Alps
Grand Capucin;3838;45.853658;6.897693;Europe;France/Italy;Graian Alps
Brunegghorn;3833;46.125944;7.745917;Europe;Switzerland;
Aiguille du Chardonnet;3824;45.968889;7.001389;Europe;France;
Mont Dolent;3823;45.922498;7.044468;Europe;France/Italy;
Nesthorn;3822;46.413333;7.925833;Europe;Switzerland;Berner Oberland
Aiguille des Glaciers;3816;45.778611;6.8025;Europe;France/Italy;
Cima di Jazzi;3803;45.980681;7.894707;Europe;Italy/Switzerland;
Grossglockner;3798;47.0667;12.7;Europe;Austria;Hohe Tauern
Tour Ronde;3798;45.844142;6.907419;Europe;Italy/France;Savoy Alps
Pigne D'Arolla;3796;45.991354;7.455236;Europe;Switzerland;Pennine Alps
Balfrin;3795;46.135083;7.880278;Europe;Switzerland;
Mont Pourri;3779;45.528333;6.86;Europe;France;Graian Alps
Wildspitze;3772;46.8833;10.8833;Europe;Austria/Italy;Otztal Alps
Cevedale;3769;46.448055;10.620833;Europe;Italy;Ortler Alps
Grande Ruine;3765;44.967222;6.329722;Europe;France;Dauphine Alps
Maliy Donguzorun;3761;43.245219;42.464546;Europe;Russia;Central Caucasus
Aiguille du Dru;3755;45.932778;6.956389;Europe;France;Savoy Alps
Drus;3754;45.932647;6.955547;Europe;France;
Morteratsch;3751;46.404233;9.90347;Europe;Switzerland;Bernina Alps
Nässihorn;3750;46.594436;8.113189;Europe;Switzerland;Berner Oberland
aiguille de la grande sassière;3747;45.5048;6.9994;Europe;France;Graian Alps
Weisskugel;3739;46.797778;10.726389;Europe;Austria;Otztal Alps
Klein Lauteraarhorn;3737;46.578982;8.139153;Europe;Switzerland;Berner Oberland
Petit Dru;3730;45.932778;6.956389;Europe;France;Savoy Alps
Roche Faurio;3730;44.95;6.36667;Europe;France;Dauphine Alps
Trifthorn;3728;46.051528;7.678333;Europe;Switzerland;Pennine Alps
Teide;3718;28.272335;-16.64257;Europe;Spain;Canary Islands
Eveque;3716;45.964307;7.502761;Europe;Switzerland;Berner Oberland
Mittelhorn;3704;46.634881;8.124647;Europe;Switzerland;Berner Oberland
Le Pleureur;3703;46.015494;7.370192;Europe;Switzerland;Pennine Alps
Wetterhorn;3692;46.6333;8.11667;Europe;Switzerland;Berner Oberland
balmhorn;3698;46.3917;7.69361;Europe;Switzerland;
Silberhorn (Alps);3695;46.540739;7.948866;Europe;Switzerland;Berner Oberland
Walcherhorn;3693;46.555496;8.054695;Europe;Switzerland;Berner Oberland
Rosenhorn;3689;46.598358;8.108168;Europe;Switzerland;Berner Oberland
Monte Dizgrazia;3678;46.2667;9.75;Europe;Italy;Lepontine Alps
Punta San Matteo;3678;46.378889;10.566667;Europe;Italy;Ortler Alps
Uja di Ciamarella;3676;45.5;7.1667;Europe;Italy;Graian Alps
Grossvenediger;3674;47.1;12.35;Europe;Austria;Hohe Tauern
Les Bans;3673;44.848333;6.336111;Europe;France;Dauphine Alps
Petit Combin;3670;45.98401;7.267711;Europe;Switzerland;Pennine Alps
Aiguille de la Tsa;3668;46.021389;7.522222;Europe;Switzerland;
Montagne des Agneaux;3664;44.95;6.41667;Europe;France;Dauphine Alps
Blemlisalphorn;3660;46.5;7.76667;Europe;Switzerland;Berner Oberland
La Sale;3646;46.02313;7.37221;Europe;Switzerland;Pennine Alps
Doldenhorn;3643;46.468611;7.735;Europe;Switzerland;
Ciarforon;3640;45.493989;7.247539;Europe;Italy;Graian Alps
Punta Rossa;3630;45.66518;7.381434;Europe;Italy;Graian Alps
Unter Aschhorn;3618;46.058313;7.714806;Europe;Switzerland;Pennine Alps
Tödi;3614;46.8;8.9;Europe;Switzerland;Glarus Alps
pic De Neige Cordier;3614;44.95;6.38333;Europe;France;
Barrhorn;3610;46.149632;7.737036;Europe;Switzerland;Pennine Alps
Les Diablons;3609;46.142212;7.671316;Europe;Switzerland;Pennine Alps
Tsanteleina;3602;45.4667;7.03333;Europe;France;Graian Alps
Punta Pedranzini;3599;46.38667;10.54795;Europe;Italy;Ortler Alps
Piz Glüschaint;3593;46.362444;9.840139;Europe;Switzerland;
Galenstock;3583;47.0333;8.7;Europe;Switzerland;
Tschingelhorn;3576;46.478694;7.848194;Europe;Switzerland;Berner Oberland
Grosses Wiesbachhorn;3564;47.156893;12.755256;Europe;Austria;Austrian Alps
Pointes de Mourti;3564;46.07258;7.58593;Europe;Switzerland;Pennine Alps
Aiguille de Peclet;3561;45.281111;6.623889;Europe;France;Graian Alps
Cima Dosegu;3560;46.382914;10.557163;Europe;Italy;Ortler Alps
Monte Emilius;3559;45.679081;7.384014;Europe;Italy;Pennine Alps
Presanella;3558;46.22;10.663889;Europe;Italy;Brenta-Adamello-Garda Group
Levanna Orientale;3555;45.3833;5.25;Europe;Italy/France;Graian Alps
Adamello;3554;46.156111;10.496389;Europe;Italy;Brenta-Adamello-Garda Group
Monte Leone;3553;46.249722;8.110278;Europe;Italy/Switzerland;Lepontine Alps
Pasquale;3553;46.443331;10.601588;Europe;Italy;Ortler Alps
Ramolkogel;3549;46.846667;10.958889;Europe;Austria;Otztal Alps
La Luette;3548;46.0102;7.38775;Europe;Switzerland;Pennine Alps
Schalfkogel;3546;46.801667;10.959167;Europe;Austria;Otztal Alps
Roche Melon;3538;45.5;7.16667;Europe;France;Graian Alps
Watzespitze;3532;47.2;10.7833;Europe;Austria;
Itkol Peak;3531;43.26866;42.539133;Europe;Russia;Central Caucasus
Weissseespitze;3518;46.846667;10.717222;Europe;Austria/Italy;Otztal Alps
Mont Gele;3518;45.90448;7.366222;Europe;Switzerland/Italy;Pennine Alps
Monte Mantello;3517;46.37287;10.56069;Europe;Italy;Ortler Alps
Punta Tersiva;3513;45.620526;7.475879;Europe;Italy;
Petite Aiguille verte;3512;45.9479;6.9586;Europe;France;
Hochfeiler;3510;46.972778;11.726111;Europe;Austria;Maritime Alps
Zuckerhuetl;3505;46.95;11.15;Europe;Austria;Stubai Alps
Becca di Luseney;3504;45.870278;7.490833;Europe;Italy;Pennine Alps
Fluchtkogel;3500;46.857778;10.7925;Europe;Austria;Otztal Alps
Pizzo Rosso di Predoi/Rotspitze;3499;47.026965;12.204912;Europe;Italy/Austria;Hohe Tauern
Schrankogel;3497;47.0333;11.1;Europe;Austria;Stubai Alps
Klein Schreckhorn;3494;46.60169;8.102074;Europe;Switzerland;Berner Oberland
Mulhacen;3482;37.053333;-3.311389;Europe;Spain;Andalucian Ranges
Olperer;3476;47.09;11.96;Europe;Austria;
Hinterer Seelenkogel;3470;46.8;11.05;Europe;Italy/Austria;Otztal Alps
Geisterspitze (Punta degli Spiriti);3467;46.498998;10.475167;Europe;Italy;Ortler Alps
Care Alto;3465;46.10792;10.595981;Europe;Italy;
Strahlegghorn;3461;46.575265;8.118124;Europe;Switzerland;Berner Oberland
Wilder Pfaff;3458;46.96595;11.163859;Europe;Austria;Stubai Alps
Kreuzspitze;3457;46.816389;10.870278;Europe;Austria;Otztal Alps
Hohe Wilde;3456;46.765801;11.022347;Europe;Austria;Otztal Alps
Punta Garin;3448;45.655343;7.377315;Europe;Italy;
Cima Villacorna;3447;46.36953;10.55453;Europe;Italy;Ortler Alps
Breithorn (Simplon);3438;46.23837;8.08401;Europe;Switzerland;
Gspaltenhorn;3436;46.511389;7.827778;Europe;Switzerland;Berner Oberland
Hochgall (Collalto);3436;46.913681;12.129057;Europe;Italy;Noric Alps
Hohe Schneide (Monte Cristallo);3434;46.49585;10.46053;Europe;Italy;Ortler Alps
Tete Blanche;3429;45.987417;7.574861;Europe;France;Savoy Alps
Spiegelkogel;3426;46.82905;10.95869;Europe;Austria;Austrian Alps
Nero (Monte);3422;45.524665;7.358318;Europe;Italy;Graian Alps
Wilder Freiger;3418;46.8;11.2;Europe;Austria;Stubai Alps
Piz Kesch;3418;46.6167;9.86667;Europe;Switzerland;Rhaetian Alps
Oberrothorn;3415;46.027678;7.812877;Europe;Switzerland;Pennine Alps
Aiguille de Chambeyron;3412;44.528313;6.853219;Europe;France;Cottian Alps
Piz Linard;3410;46.8333;10.0333;Europe;Switzerland;
Mettelhorn;3406;46.055633;7.741606;Europe;Switzerland;Pennine Alps
Aneto;3404;42.631433;0.655403;Europe;Spain;Pyrenees
Pico Veleta;3398;37.056547;-3.36628;Europe;Spain;Andalucian Ranges
Pigne de la Lé;3396;46.08344;7.61099;Europe;Switzerland;Pennine Alps
Hohe Geige;3393;47.004722;10.908611;Europe;Austria;
Unter Gabelhorn;3392;46.026306;7.697472;Europe;Switzerland;Pennine Alps
Sonklarspitze;3388;46.95456;11.165581;Europe;Austria;Stubai Alps
Pizzo Cengalo;3367;46.294812;9.601918;Europe;Italy/Switzerland;Rhaetian Alps
Cima Solda - Suldenspitze;3376;46.4683;10.6004;Europe;Italy;Ortler Alps
Posets;3375;42.654856;0.434303;Europe;Spain;Pyrenees
Alcazaba;3371;37.067778;-3.300833;Europe;Spain;Andalucian Ranges
Monte Confinale;3370;46.449218;10.504893;Europe;Italy;Ortler Alps
Hoher Weisszint (Punta Bianca);3370;46.973802;11.764906;Europe;Italy/Austria;Noric Alps
Becco di Valsoera;3369;45.507826;7.37823;Europe;Italy;Graian Alps
Sasso Nero (Schwarzenstein);3369;47.01053;11.874082;Europe;Italy/Austria;Noric Alps
Wisse Schijen;3368;46.0976;7.7421;Europe;Switzerland;Pennine Alps
Becco Meridionale Della Tribolazione;3360;45.499444;7.333599;Europe;Italy;Graian Alps
Corno dei Tre Signori;3360;46.34323;10.51569;Europe;Italy;Ortler Alps
Hochalmspitze;3360;47;13.3167;Europe;Austria;Hohe Tauern
Schneebiger Nock (Monte Nevoso);3358;46.899529;12.096441;Europe;Italy;Noric Alps
Monte Perdido;3355;42.676599;0.032959;Europe;Spain;Pyrenees
Glockturm;3353;46.893056;10.665556;Europe;Austria;
Blinnenhorn;3347;46.425944;8.308028;Europe;Italy/Switzerland;Lepontine Alps
Platthorn;3345;46.053607;7.736306;Europe;Switzerland;Pennine Alps
Marmolada;3342;46.4333;11.85;Europe;Italy;Dolomites
Roteck (Monte Rosso);3337;46.699082;10.995855;Europe;Italy;
Rosablanche;3336;46.060368;7.354231;Europe;Switzerland;Pennine Alps
Mont Fort;3328;46.080278;7.318889;Europe;Switzerland;Pennine Alps
Monte Etna;3323;37.75;15;Europe;Italy;Sicily
Scalino;3323;46.2667;9.95;Europe;Italy;Rhaetian Alps
Pointe du Cret;3322;46.03895;7.3659;Europe;Switzerland;Pennine Alps
Texelspitze (Cima Tessa);3318;46.719711;10.971694;Europe;Italy;Ortler Alps
Rochers du Bouc;3314;46.04267;7.37337;Europe;Switzerland;Pennine Alps
Piz Buin;3312;47.0833;9.25;Europe;Austria;
Garde de Bordon;3310;46.120782;7.597307;Europe;Switzerland;Pennine Alps
Pico de la Maladeta;3308;42.638;0.640984;Europe;Spain;Pyrenees
Pizzo Badile;3308;46.295315;9.586326;Europe;Switzerland/Italy;
Punta di Leppe;3306;45.67548;7.41783;Europe;Italy;
Weissspitze;3300;47.0667;12.4;Europe;Austria;
Lisenser Fernerkogel;3299;47.0833;11.1167;Europe;Austria;Stubai Alps
Vignemale;3298;42.774109;-0.150805;Europe;France/Spain;Pyrenees
Argentera;3297;44.1667;7.3;Europe;Italy;Maritime Alps
Monte Sobretta;3296;46.397987;10.437796;Europe;Italy;Ortler Alps
Punta Ciatagnera;3294;44.904092;6.861679;Europe;Italy;Cottian Alps
Hockenhorn;3293;46.428333;7.744167;Europe;Switzerland;Berner Oberland
Roc del Boucher;3285;44.906892;6.864623;Europe;Italy;Cottian Alps
Punta del Naso (Grosse Nagler Spitze);3272;46.50835;10.45757;Europe;Italy;Ortler Alps
Pointe d'Orny;3271;46.002296;7.042691;Europe;Switzerland;Graian Alps
Habicht;3270;47.043657;11.289379;Europe;Austria;Stubai Alps
Antelao;3264;46.452323;12.261586;Europe;Italy;Dolomites
Piz Languard;3262;46.488472;9.956472;Europe;Switzerland;Rhaetian Alps
Dents du Midi;3257;46.1667;6.93333;Europe;Switzerland;
Sasseneire;3253;46.14386;7.51538;Europe;Switzerland;Pennine Alps
Scarpaco;3252;46.25;10.6667;Europe;Italy;Brenta-Adamello-Garda Group
Cime dei Forni;3247;46.4487;10.55;Europe;Italy;Ortler Alps
Wasenhorn (Terrarossa);3246;46.2663;8.0857;Europe;Switzerland/Italy;Lepontine Alps
Wildstrubel;3244;46.400278;7.5286;Europe;Switzerland;Berner Oberland
Augstenberg;3228;46.8667;10.2;Europe;Austria/Switzerland;
Monte Gavia;3223;46.352761;10.471399;Europe;Italy;Ortler Alps
Pic De Perdiguère;3222;42.693224;0.517302;Europe;France/Spain;Pyrenees
Cima Valumbrina;3222;46.363265;10.540761;Europe;Italy;Ortler Alps
Monte Cristallo;3221;46.575221;12.200628;Europe;Italy;Dolomites
Monte Civetta;3219;46.377231;12.050086;Europe;Italy;Dolomites
Piz Timun;3209;46.466944;9.409444;Europe;Italy;
Pain de Sucre;3208;44.6573;7.08;Europe;France;
Jegihorn;3206;46.15139;7.96998;Europe;Switzerland;Pennine Alps
Sorapiss;3205;46.50644;12.209371;Europe;Italy;Dolomites
Sesvenna (Piz);3205;46.704874;10.403005;Europe;Italy/Switzerland;Rhaetian Alps
Bütlasse;3193;46.518667;7.819889;Europe;Switzerland;Berner Oberland
Pic Long;3192;42.800974;0.098834;Europe;France;Pyrenees
Cima della Vezzana;3192;46.2899;11.8305;Europe;Italy;Dolomites
Hübschhorn;3192;46.237386;8.0575;Europe;Switzerland;Lepontine Alps
Mont Glacier;3186;45.63134;7.540136;Europe;Italy;
Cimon della Pala;3184;46.285828;11.820602;Europe;Italy;Dolomites
Punta del Sabbione;3182;46.24;8.18;Europe;Italy/Switzerland;
Langkofel;3181;46.524722;11.735278;Europe;Italy;Dolomites
Mont Thabor;3178;45.1167;6.56667;Europe;France;
Cima Tosa;3173;46.1556;10.8633;Europe;Italy;Dolomites
Gross Furkahorn;3169;46.596583;8.41025;Europe;Switzerland;Urner Alps
Pelmo;3168;46.4162;12.12745;Europe;Italy;Dolomites
Gwächtenhorn;3164;46.60346;8.092632;Europe;Switzerland;Berner Oberland
Rosa dei Banchi;3164;45.576696;7.53078;Europe;Italy;
Pizzo Stella;3163;46.381389;9.421389;Europe;Italy;
Grosser Diamantstock;3162;46.592417;8.243278;Europe;Switzerland;Berner Oberland
Courmaon;3162;45.456814;7.232433;Europe;Italy;Graian Alps
Piz Boé;3152;46.511278;11.825355;Europe;Italy;Dolomites
Piz Boe;3152;46.508889;11.828056;Europe;Italy;Dolomites
Tete de la Fréma;3151;44.537253;6.869853;Europe;France/Italy;Cottian Alps
Snebordet;3150;68.95;-30.8;Europe;Greenland;
Becs de Bosson;3149;46.167895;7.518366;Europe;Switzerland;Pennine Alps
Flüela Schwarzhorn;3147;46.8;9.95;Europe;Switzerland;
Guslarspitzen;3147;46.8617;10.8333;Europe;Austria;Otztal Alps
Balaitous;3146;42.838717;-0.290966;Europe;Spain/France;Pyrenees
Taillon;3144;42.694675;-0.052872;Europe;France/Spain;Pyrenees
Pica d'Estats;3143;42.6683;1.396551;Europe;Spain;Pyrenees
Becca di Nona;3142;45.68707;7.365814;Europe;Italy;Graian Alps
Mont Delà;3139;45.624018;7.528806;Europe;Italy;
Pico Viejo;3135;28.2639;-16.6647;Europe;Spain;Canary Islands
Crozzon di Brenta;3135;46.182714;10.890234;Europe;Italy;Dolomites
La Munia;3133;42.716277;0.130763;Europe;Spain/France;Pyrenees
Schareck;3123;47.04065;13.0197;Europe;Austria;Hohe Tauern
Oldenhorn;3122;46.32925;7.221639;Europe;Switzerland;Berner Oberland
Grosslitzner;3109;46.886361;10.0385;Europe;Austria;
Mättenberg;3104;46.60856;8.078856;Europe;Switzerland;Berner Oberland
Monte Breva - Piz la Stretta;3104;46.47665;10.04476;Europe;Italy/Switzerland;Rhaetian Alps
Oestliche Knotenspitze;3101;47.05;11.1667;Europe;Austria;
Torre Ponton;3101;45.603845;7.49456;Europe;Italy;
Kreusspitze;3100;47.25;11.25;Europe;Austria;Stubai Alps
Mont Buet;3099;46.024145;6.851349;Europe;France;Savoy Alps
Gross Muttenhorn;3099;46.546528;8.427222;Europe;Switzerland;
Lasörling;3098;46.969008;12.346573;Europe;Austria;Kitzbuhel
Monte Scorluzzo;3095;46.52178;10.44238;Europe;Italy;Ortler Alps
Pic de Néouvielle;3092;42.835696;0.113897;Europe;France;Pyrenees
Punta della Valletta;3090;45.658282;7.339335;Europe;Italy;
Granatspitze;3086;47.124722;12.591944;Europe;Austria;Hohe Tauern
Flüela-Wisshorn;3085;46.7608;9.96456;Europe;Switzerland;Rhaetian Alps
Mont Rogneux;3084;46.009243;7.231493;Europe;Switzerland;Pennine Alps
Picos del Infierno;3082;42.783811;-0.265045;Europe;Spain;Pyrenees
Roma (Punta);3070;44.688259;7.074962;Europe;Italy/France;Cottian Alps
Patteriol;3056;47.044081;10.187608;Europe;Austria;
Monte Vago - Al Vach;3058;46.4404;10.0787;Europe;Italy/Switzerland;Rhaetian Alps
Garmo Negro;3051;42.7766;-0.2725;Europe;Spain;Pyrenees
Grand Muveran;3051;46.2333;7.11667;Europe;Switzerland;
Mont Pelat;3050;44.265;6.705833;Europe;France;Maritime Alps
Corno Stella;3050;44.263903;7.174068;Europe;Italy;Maritime Alps
Pizzo di Coca;3050;46.071847;10.011113;Europe;Italy;Orobie Alps
Piz Minor;3049;46.451099;10.0283;Europe;Switzerland;Bernina Alps
Mont Clapier;3045;44.1333;7.38333;Europe;France;
Parseierspitze;3036;47.174444;10.478333;Europe;Austria;
Hexenkopf;3035;47.021111;10.468889;Europe;Austria;Otztal Alps
Piz Umbrail;3031;46.55101;10.4174;Europe;Switzerland/Italy;Ortler Alps
Croda di Santa Croce;3026;46.622385;11.960893;Europe;Italy;Dolomites
Klein Furkahorn;3026;46.58007;8.41051;Europe;Switzerland;Lepontine Alps
Roetlspitz (Rötlspitz; Punta Rosa);3026;46.53974;10.45916;Europe;Switzerland;Ortler Alps
Pointes de Tsavolire;3026;46.16236;7.50924;Europe;Switzerland;Pennine Alps
Sass Rigais;3025;46.610056;11.767889;Europe;Italy;Dolomites
Cima Furchetta;3025;46.612225;11.772873;Europe;Italy;Dolomites
Monte Gaviola;3025;46.334147;10.498268;Europe;Italy;Ortler Alps
Wildes Mannle;3023;46.884483;10.899639;Europe;Austria;Austrian Alps
Udine (Punta);3022;44.69584;7.073245;Europe;Italy/France;Cottian Alps
Turon de Néouvielle;3021;42.828646;0.106087;Europe;France;Pyrenees
Hangerer;3020;46.835301;11.018085;Europe;Austria;Austrian Alps
Schwarzkogel;3016;46.9623;10.9386;Europe;Austria;Austrian Alps
Forqueta de Eriste;3010;42.631622;0.425463;Europe;Spain;Pyrenees
Monte Giove;3009;46.36159;8.3864;Europe;Italy;Lepontine Alps
Ochsenbug;3008;47.0204;12.283;Europe;Austria;Austrian Alps
Punta Cassana (Chaschauna);3007;46.567;10.0852;Europe;Italy/Switzerland;Rhaetian Alps
Avic;3006;45.689439;7.564168;Europe;Italy;Graian Alps
Casco;3006;42.687646;-0.027363;Europe;Spain;Pyrenees
Furgler;3004;47.040278;10.511944;Europe;Austria;Otztal Alps
Wiwannihorn;3001;46.354917;7.856194;Europe;Switzerland;
Cima Grande;2999;46.3833;11.85;Europe;Italy;Dolomites
Hoher Dachstein;2996;47.475278;13.606389;Europe;Austria;
Pala di San Martino;2987;46.2541;11.8478;Europe;Italy;Dolomites
Catinaccio;2981;46.4716;11.6505;Europe;Italy;Dolomites
Salbitschijen;2981;46.675888;8.530831;Europe;Switzerland;Urner Alps
Grand Pic de Belledonne;2977;45.166709;5.093949;Europe;France;Dauphine Alps
Wildgrat;2974;47.140556;10.826667;Europe;Austria;Otztal Alps
Schilthorn;2970;46.556;7.833;Europe;Switzerland;Berner Oberland
Haut de Cry;2969;46.24;7.19;Europe;Switzerland;Pennine Alps
Schesaplana;2965;47.053889;9.707222;Europe;Austria/Switzerland;Austrian Alps
